City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,pangkalanbuun,-2.6833,111.6167,25.76,80,96,1.75,ID,1692750035
111,hotan,37.0997,79.9269,24.24,24,79,1.11,CN,1692750036
112,kill devil hills,36.0307,-75.676,24.99,80,75,6.69,US,1692749752
113,alaghsas,17.0187,8.0168,35.09,21,88,3.71,NE,1692750036
114,vadso,70.0744,29.7487,9.49,87,100,2.57,NO,1692750036
115,sorong,-0.8833,131.25,25.88,86,100,4.58,ID,1692750036
116,pisco,-13.7,-76.2167,19.03,77,100,6.69,PE,1692750036
117,san antonio de pale,-1.4014,5.6325,23.44,90,66,6.41,GQ,1692750036
118,tindouf,27.6711,-8.1474,35.25,17,92,3.09,DZ,1692750037
119,burang,30.25,81.1667,12.06,88,100,2.34,CN,1692750037
120,nishinoomote,30.7333,131.0,28.31,100,75,2.06,JP,1692750037
121,hong kong,22.2855,114.1577,31.09,86,97,1.34,HK,1692750037
122,nong khae,14.3406,100.8673,27.93,92,98,2.35,TH,1692750037
123,lewistown,40.5992,-77.5714,21.45,81,0,0.0,US,1692750038
124,aykhal,66.0,111.5,6.42,69,2,1.65,RU,1692749754
125,sandersville,32.9815,-82.8101,31.82,47,97,1.85,US,1692750038
126,mount gambier,-37.8333,140.7667,11.69,87,94,3.42,AU,1692750038
127,sidney,-33.8679,151.2073,17.41,56,1,0.89,AU,1692749762
128,turaif,31.6725,38.6637,30.14,12,0,6.17,SA,1692750039
129,cockburn town,21.4612,-71.1419,28.6,74,17,8.92,TC,1692750039
130,codrington,-38.2667,141.9667,12.74,77,90,5.69,AU,1692750039
131,tura,25.5198,90.2201,22.48,98,100,2.96,IN,1692750039
132,carutapera,-1.195,-46.02,24.92,79,22,3.91,BR,1692750040
133,puerto ayora,-0.7393,-90.3518,24.19,89,82,2.68,EC,1692750040
134,shalqar,47.8333,59.6,25.4,35,48,3.48,KZ,1692750040
135,port mathurin,-19.6833,63.4167,23.07,76,3,9.85,MU,1692750040
136,east london,-33.0153,27.9116,18.94,36,25,4.31,ZA,1692749986
137,xiaoweizhai,26.1903,107.5125,22.6,94,83,0.58,CN,1692750040
138,new norfolk,-42.7826,147.0587,13.72,72,61,3.52,AU,1692750041
139,lae,-6.7221,146.9847,26.37,65,73,0.17,PG,1692750041
140,bilibino,68.0546,166.4372,6.92,58,96,1.08,RU,1692750041
141,cimitarra,6.3142,-73.9497,25.3,88,83,1.22,CO,1692750041
142,itapaci,-14.9508,-49.5494,27.47,29,38,0.53,BR,1692750041
143,arak,34.0917,49.6892,23.91,17,20,2.63,IR,1692750041
144,alice springs,-23.7,133.8833,17.75,34,0,6.17,AU,1692750042
145,freetown,8.484,-13.2299,25.47,87,100,2.6,SL,1692750042
146,bakanas,44.8081,76.2772,23.66,26,46,2.72,KZ,1692749757
147,sepolno krajenskie,53.452,17.5317,9.71,64,3,1.65,PL,1692750042
148,egilsstadir,65.2653,-14.3948,9.12,98,100,2.35,IS,1692750042
149,klaksvik,62.2266,-6.589,12.51,99,100,1.59,FO,1692750042
150,ponta delgada,37.7333,-25.6667,20.4,77,20,2.57,PT,1692750043
151,chengde,40.9725,117.9361,20.17,62,2,1.28,CN,1692750043
152,vung tau,10.346,107.0843,26.79,85,99,4.32,VN,1692750043
153,mount pleasant,32.7941,-79.8626,31.08,81,0,0.89,US,1692749866
154,pundong,-7.9522,110.3486,23.72,77,13,4.62,ID,1692750044
155,pacific grove,36.6177,-121.9166,26.61,79,0,5.14,US,1692750044
156,port alfred,-33.5906,26.891,16.6,49,33,5.67,ZA,1692750044
157,fraserburgh,57.6874,-2.0184,13.57,82,88,5.73,GB,1692750044
158,prince rupert,54.3161,-130.3201,14.83,86,100,3.09,CA,1692749759
159,wailua homesteads,22.0669,-159.378,30.44,77,40,7.2,US,1692750044
160,fort mcmurray,56.7268,-111.381,23.77,53,40,1.54,CA,1692750004
161,bairnsdale,-37.8333,147.6167,11.32,75,68,2.32,AU,1692750045
162,iwanai,42.9744,140.5089,31.12,67,14,0.77,JP,1692750045
163,bredasdorp,-34.5322,20.0403,11.01,74,95,9.26,ZA,1692750045
164,olonkinbyen,70.9221,-8.7187,5.65,94,94,1.08,SJ,1692750045
165,qaqortoq,60.7167,-46.0333,7.71,84,100,4.03,GL,1692750045
166,valday,57.9747,33.2525,12.45,96,90,1.79,RU,1692750045
167,shchyolkino,45.4291,35.8223,25.83,56,10,6.78,UA,1692750046
168,stanley,54.868,-1.6985,14.18,91,0,2.57,GB,1692750046
169,camayenne,9.535,-13.6878,25.45,87,100,0.28,GN,1692749853
170,santa maria,-29.6842,-53.8069,23.19,73,0,2.06,BR,1692749823
171,carnarvon,-24.8667,113.6333,17.14,68,0,7.95,AU,1692750046
172,chaadayevka,53.1427,45.9122,9.75,66,16,1.26,RU,1692750046
173,khandyga,62.6667,135.6,13.43,85,100,2.29,RU,1692750047
174,panj,37.2363,69.0991,25.06,31,0,1.73,TJ,1692750047
175,chongwe,-15.3292,28.682,17.69,29,0,1.28,ZM,1692749761
176,axim,4.8699,-2.2405,24.29,92,69,3.52,GH,1692749762
177,horodyshche,49.2849,31.4451,16.42,57,3,1.8,UA,1692750047
178,samarinda,-0.5,117.15,24.67,93,69,1.43,ID,1692750047
179,howrah,22.5892,88.3103,29.0,94,75,2.06,IN,1692750048
180,jamestown,42.097,-79.2353,20.77,68,0,3.09,US,1692749880
181,fyodorovka,53.6314,62.7078,16.22,95,96,3.8,KZ,1692749763
182,bandarbeyla,9.4942,50.8122,25.41,82,30,10.85,SO,1692750048
183,tucurui,-3.7661,-49.6725,27.12,62,37,0.59,BR,1692749763
184,st. john's,47.5649,-52.7093,17.21,96,75,3.09,CA,1692750033
185,sabang,5.8933,95.3214,27.78,77,100,5.19,ID,1692749764
186,port saint john's,-31.6229,29.5448,19.41,41,1,2.15,ZA,1692750049
187,enewetak,11.3474,162.3373,28.95,77,80,6.34,MH,1692750049
188,myitkyina,25.3833,97.4,23.38,100,100,0.28,MM,1692749764
189,qaisumah,28.3112,46.1273,33.98,40,0,2.06,SA,1692750049
190,grootfontein,-19.5667,18.1167,18.32,10,7,6.34,NA,1692750049
191,dudinka,69.4058,86.1778,11.46,88,100,3.44,RU,1692750049
192,tazovsky,67.4667,78.7,8.5,96,100,2.61,RU,1692750050
193,ola,59.5833,151.2833,16.75,61,40,2.22,RU,1692750050
194,cidade velha,14.9167,-23.6167,27.26,83,75,2.57,CV,1692749765
195,bridgewater,44.3835,-64.5155,18.82,71,33,5.14,CA,1692749896
196,strezhevoy,60.7333,77.5889,9.09,98,70,3.8,RU,1692749765
197,clorinda,-25.2848,-57.7185,26.09,36,0,3.53,AR,1692750050
198,urumqi,43.801,87.6005,23.53,31,0,2.0,CN,1692750050
199,vila franca do campo,37.7167,-25.4333,20.23,73,78,2.52,PT,1692750051
200,olyokminsk,60.3736,120.4264,11.93,53,0,1.67,RU,1692750051
201,antsiranana,-12.2787,49.2917,21.96,77,4,7.93,MG,1692750051
202,yartsevo,55.0667,32.6964,12.01,95,84,2.37,RU,1692750051
203,al jawf,29.5,38.75,32.69,17,4,2.05,SA,1692749766
204,i-n-salah,27.1935,2.4607,32.63,25,27,3.52,DZ,1692749766
205,callao,-12.0667,-77.15,20.95,77,100,4.63,PE,1692750052
206,gebeit,21.0667,36.3167,29.5,39,56,2.45,SD,1692749767
207,gudari,19.35,83.7833,26.02,93,100,0.38,IN,1692750052
208,selfoss,63.9331,-20.9971,9.47,77,58,2.81,IS,1692750052
209,namsos,64.4662,11.4957,13.03,93,40,0.0,NO,1692750052
210,'ain deheb,34.8422,1.547,24.8,29,0,3.8,DZ,1692750052
211,dolinsk,47.35,142.8,24.58,87,90,5.01,RU,1692750052
212,margaret river,-33.95,115.0667,13.65,71,88,3.84,AU,1692749817
213,vorgashor,67.5833,63.95,6.81,90,97,2.34,RU,1692750053
214,piracanjuba,-17.3028,-49.0167,24.55,34,20,2.0,BR,1692750053
215,hinton,53.4001,-117.5857,16.12,88,100,1.77,CA,1692750053
216,namibe,-15.1961,12.1522,17.2,91,73,3.83,AO,1692750053
